0.000000	0.061210	sil
0.061210	0.105000	AE
0.105000	0.180000	N
0.180000	0.292170	D
0.292170	0.292170	sp
0.292170	0.398681	W
0.398681	0.556003	AH
0.556003	0.730000	N
0.730000	0.730000	sp
0.730000	0.879443	F
0.879443	1.036276	AO
1.036276	1.113472	R
1.113472	1.183035	DH
1.113961	1.113961	sp
1.183339	1.454012	AH
1.454012	1.515084	L
1.454012	1.454012	sp
1.515084	1.634297	IH
1.634297	1.796017	T
1.796017	1.861975	AH
1.861975	1.963111	L
1.963111	2.081836	B
1.963111	1.963111	sp
2.081836	2.290000	OY
2.290000	2.290000	sp
2.290000	2.315000	HH
2.315000	2.590447	UW
2.590447	2.712103	L
2.590447	2.590447	sp
2.712103	2.938315	IH
2.938315	3.114692	V
3.114692	3.220000	Z
3.220000	3.220000	sp
3.220000	3.275000	D
3.275000	3.432757	AW
3.432757	3.575000	N
3.575000	3.575000	sp
3.575000	3.630000	DH
3.630000	3.737631	AH
3.737631	3.737631	sp
3.737631	3.926222	L
3.926222	4.250000	EY
4.250000	4.470000	N
4.470000	4.470000	sp
4.470000	4.710000	sil
