0.000000	0.032463	sil
0.032463	0.320000	AA
0.320000	0.524319	R
0.524319	0.524319	sp
0.524319	0.686631	Y
0.686631	1.056507	UW
1.056507	1.210950	S
1.056507	1.056507	sp
1.210950	1.292598	L
1.292598	1.688051	IY
1.688051	1.856266	P
1.856266	2.060878	IH
2.060878	2.220239	NG
2.220239	2.479940	sp
2.479940	2.680617	AA
2.680617	3.000000	R
3.000000	3.000000	sp
3.000000	3.153783	Y
3.153783	3.483326	UW
3.483326	3.639737	S
3.483326	3.483326	sp
3.639737	3.710000	L
3.710000	4.075000	IY
4.075000	4.237834	P
4.237834	4.403098	IH
4.403098	4.525000	NG
4.525000	4.525000	sp
4.525000	4.780000	sil
