0.000000	0.320000	sil
0.320000	0.410185	DH
0.410185	0.585000	IH
0.585000	0.761597	S
0.761597	0.962403	sp
0.962403	1.285000	OW
1.285000	1.325000	L
1.325000	1.386057	D
1.386057	1.523193	M
1.386057	1.386057	sp
1.523193	1.869707	AE
1.869707	2.005619	N
2.005619	2.599469	sp
2.599469	2.730483	HH
2.730483	3.085000	IY
3.085000	3.168830	sp
3.170054	3.270000	P
3.270000	3.350000	L
3.350000	3.605000	EY
3.605000	3.675000	D
3.675000	3.675000	sp
3.675000	3.880000	S
3.880000	4.022259	EH
4.022259	4.098173	V
4.098173	4.230412	AH
4.230412	4.404281	N
4.404281	4.533878	sp
4.534071	4.790000	sil
