0.000000	0.346330	sil
0.346330	0.424129	DH
0.424129	0.600000	IH
0.600000	0.785517	S
0.785517	0.954918	sp
0.954918	1.350000	OW
1.350000	1.405398	L
1.405398	1.405398	sp
1.405398	1.571034	M
1.571034	1.895000	AE
1.895000	2.061669	N
2.061669	2.613789	sp
2.613789	2.710000	HH
2.710000	3.138304	IY
3.138304	3.138304	sp
3.138304	3.310000	P
3.310000	3.405000	L
3.405000	3.695000	EY
3.695000	3.753165	D
3.753165	3.935000	F
3.755675	3.755675	sp
3.935000	4.171020	AO
4.171020	4.475000	R
4.475000	4.565000	sp
4.565000	4.825000	sil
