0.000000	0.210132	sil
0.210132	0.810101	UW
0.810101	0.900000	R
0.900000	1.475678	EY
1.475678	1.475678	sp
1.475678	1.547940	AH
1.547940	1.610695	P
1.610695	1.654432	sp
1.654432	1.805000	SH
1.805000	2.036663	IY
2.036663	2.129844	R
2.036663	2.036663	sp
2.129844	2.326664	AY
2.326664	2.425550	Z
2.425550	2.624272	IH
2.624272	2.688928	Z
2.688928	2.747879	HH
2.688928	2.688928	sp
2.746928	3.331685	UH
3.331685	3.390636	R
3.390636	3.975000	EY
3.975000	3.975000	sp
3.975000	4.000000	AH
4.000000	4.050000	P
4.050000	4.133229	sp
4.133229	4.310000	SH
4.310000	4.544935	IY
4.543984	4.543984	sp
4.544935	4.634312	R
4.634312	4.790247	AY
4.790247	4.864412	Z
4.864412	4.900000	IH
4.900000	5.005000	Z
5.005000	5.005000	sp
5.005000	5.135000	sil
