0.000764	0.306539	sil
0.306539	0.466306	AH
0.466306	0.636010	N
0.466306	0.466306	sp
0.636010	0.801128	IH
0.801128	0.868398	K
0.868398	1.184875	sp
1.185000	1.273549	N
1.273549	1.489884	AE
1.489884	1.558684	K
1.558684	1.829294	sp
1.829294	1.892742	P
1.892742	2.083086	AE
2.083086	2.137361	D
2.137361	2.327705	IY
2.327705	2.438549	W
2.327705	2.327705	sp
2.438549	2.594493	AE
2.594493	2.649533	K
2.649533	2.974418	sp
2.974418	3.024870	G
3.024870	3.180051	IH
3.180051	3.277134	V
3.277134	3.277134	sp
3.277134	3.444545	AH
3.444545	3.525576	N
3.444545	3.444545	sp
3.525576	3.583673	D
3.583673	3.783955	AO
3.783955	3.871100	G
3.871100	3.994939	AH
3.871865	3.871865	sp
3.994939	4.117248	sp
4.117248	4.178403	B
4.178403	4.625598	OW
4.625598	4.744850	N
4.744850	4.875000	sp
4.875000	4.970000	sil
